"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Senillosa 400","Caballito",36,"dolares",85000,"venta","departamento",2015-08-20
"Padilla 900","Villa Crespo",46,"pesos",1366141,"venta","departamento",2015-08-20
"Padilla 900","Villa Crespo",71,"pesos",1993332,"venta","departamento",2015-08-20
"Padilla 900","Villa Crespo",78,"pesos",2187939,"venta","departamento",2015-08-20
"Padilla 900","Villa Crespo",78,"pesos",2275457,"venta","departamento",2015-08-20
"Potosi 4300","Almagro",37,"dolares",88500,"venta","departamento",2015-08-20
"Potosi 4300","Almagro",37,"dolares",92900,"venta","departamento",2015-08-20
"Potosi 4300","Almagro",37,"dolares",95500,"venta","departamento",2015-08-20
"Potosi 4300","Almagro",37,"dolares",102500,"venta","departamento",2015-08-20
"Doblas 900","Parque Chacabuco",68,"pesos",1956378,"venta","departamento",2015-08-20
"Doblas 900","Parque Chacabuco",40,"pesos",1112920,"venta","departamento",2015-08-20
"Doblas 900","Parque Chacabuco",41,"pesos",1149768,"venta","departamento",2015-08-20
"Pueyrredon, Av. 600","Balvanera",43,"dolares",104500,"venta","departamento",2015-08-20
"Pueyrredon, Av. 600","Balvanera",36,"dolares",97500,"venta","departamento",2015-08-20
"Pueyrredon, Av. 600","Balvanera",39,"dolares",108600,"venta","departamento",2015-08-20
"Viamonte 1300","Tribunales",47,"pesos",792328,"venta","departamento",2015-08-20
"Viamonte 1300","Tribunales",47,"pesos",855314,"venta","departamento",2015-08-20
"Viamonte 1300","Tribunales",47,"pesos",868746,"venta","departamento",2015-08-20
"Viamonte 1300","Tribunales",38,"pesos",708491,"venta","departamento",2015-08-20
"Cordoba 3100","Palermo",42,"dolares",92246,"venta","departamento",2015-08-20
"Cordoba 3100","Palermo",32,"dolares",71456,"venta","departamento",2015-08-20
"Cordoba 3100","Palermo",34,"dolares",73612,"venta","departamento",2015-08-20
"Cordoba 3100","Palermo",44,"dolares",95986,"venta","departamento",2015-08-20
"Alfredo Bufano 1000","Flores",36,"dolares",50400,"venta","departamento",2015-08-20
